prior_finding_id,source_document,original_title,original_severity,original_affected_area,original_expected_result,retest_run_id,retest_scenario_step,retest_controlled_datetime,retest_actor_role,retest_preconditions,retest_input,retest_expected_result,retest_actual_result,linked_record_refs,evidence_refs,new_finding_id,retest_result,independent_reviewer,review_date,notes
"IPL-001","runs/2026-07-17_local_01/IPL-001_TRIAGE_AND_INTERIM_VERDICT.md","No interim/periodic inpatient settlement (inpatient case files one claim at closure, then read-only)","High (Automatic NO-GO 29.5)","Inpatient case -> periodic settlement (11, 21 SET-01..03, 26.6)","One admission produces linked immutable interim slices while OPEN, settled across cycles without rebilling; benefit used once at decision","2026-07-18_local_02","IPL-001 re-verify: SET-01/02/03 + 11.6/11.7-8 via UI + fresh integration on fixed build e314de8","2026-07-18 (real clock)","SUPER_ADMIN (ops) + service-level integration","VM rebuilt to e314de8, fresh DB seeded; NOTE 0 ProviderContract in seed","Opened CASE-2026-00001 (MVX-2024-00003, Kampala Hosp), added entry, Cut interim bill slice (UI); ran tests/integration/interim-settlement.integration.test.ts","Interim slice = adjudicable claim linked to case, case stays OPEN; second slice only new lines (identity); residual-only close; benefit used once at decision; settle once","SET-01 PASS (live UI: slice CLM-2026-00760, 'Case remains open'). SET-02/03 + recon read-model + 11.7-8 settle-once PASS (5/6 integration on fresh VM). 11.6 (used rises at slice approval) FAILED on clean seed: slice PENDS (CON-001, 0 ProviderContract) so usage not booked; anomalous used delta -834k.","CASE-2026-00001; CLM-2026-00760","evidence/IPL-001_reverify_SET01_slice1.txt; evidence/IPL-001_reverify_integration_summary.md; exports/IPL-001_reverify_integration_suite_output.txt","IPL-RV-01","FIXED-VERIFIED — interim slicing (SET-01/02/03, recon, settle-once) + money-path (§11.6: slice adjudicates APPROVED, benefit used booked once +150k) confirmed end-to-end after building §7.1 contract book (PC-UAT-IP-2026)","","2026-07-18","Old-build NO-GO capability now EXISTS and reconciles (SET-01/02/03). Money-path re-test blocked on the 7.1 contract book fixture (task 3); re-run after building it. Fix author reported 6/6; clean-seed gives 5/6 (non-hermetic test)."
"IP-DEF-06","plan §25 / prior inpatient findings","Exhausted/near-limit members could be paid above the binding limit","Critical","Benefit availability gate / claim decision","Exhausted and near-limit members cannot be paid above the binding limit; system identifies the binding constraint and requires explicit partial/decline","2026-07-18_local_02","IP-DEF-06 via IP-UAT-MALARIA (INPATIENT binds 9M)","2026-07-18 real clock; service-date param 2026-08-08","service-level BenefitUsageService (availability gate + fail-closed backstop)","IP-UAT-MALARIA fixture (INPATIENT 10M limit, 1M used -> 9M remaining; verified via computeAvailability)","computeAvailability(12M request); recordUsage 12M / 9M / 9.001M in rolled-back txns","12M over-approval blocked; binding constraint named; exact 9M allowed to remaining 0; no penny over","PASS: availability binds CATEGORY@9M; recordUsage 12M BLOCKED ([BENEFIT_CATEGORY_EXHAUSTED] must not consume more than 9M available); 9M exact ALLOWED remaining 0; 9,001,000 BLOCKED. Fixture left pristine (rolled back).","IP-UAT-MALARIA","notes/MEMBER_FIXTURES_BUILD.md; scripts/uat-ipdef06.ts (output captured in run log)","","FIXED-VERIFIED (service-level; UI partial-approval flow to confirm in Scenario 4 §15)","","2026-07-18","THE #1 NO-GO condition (over-limit pay). Fail-closed backstop + availability gate both enforce. Exact-exhaustion (§15) also proven."
"IPL-PA-01","runs/2026-07-18_local_02/GAP_REGISTER.csv (this campaign's High)","Interim slices do not carry the case's pre-authorisations (PA-required lines cannot be interim-settled; case PA/GOP holds not credited to slices)","High","Interim slice adjudication x contract PA (11.5/13)","A slice with a PA-required line adjudicates using the case's PA/GOP; the case hold is credited to the slice; residual PA stays usable by later slices","2026-07-19 remediation (fix/inpatient-slice-case-pa)","scripts/uat-pa-slice-accept.ts on the VM — real PC-UAT-IP-2026 contract, MRI-BRAIN PA-required line","2026-08-01 (controlled clock)","CLAIMS_OFFICER (service decide, matrixSatisfied)","VM on fix branch 9733aa1, prisma client regenerated; fresh case CASE-2026-00011, MRI-BRAIN+WARD slice","Phase A: decide slice with NO PA. Phase B: create APPROVED PA + ACTIVE hold, attach to CASE, decide the same slice","Phase A THROWS (gate intact, slice stays RECEIVED); Phase B ADJUDICATES via case read-through, hold credited, PA partial-consumed (stays APPROVED, caseId intact, not re-pointed)","Phase A: BLOCKED 'requires pre-authorization for: MRI-BRAIN (or attach one to its case)'; slice RECEIVED, no side effects. Phase B: APPROVED 1,450,000; hold credited -> 150,000 residual ACTIVE; PA APPROVED utilised 1,450,000 claimId null caseId intact; re-pointed-onto-slice count = 0.","CASE-2026-00011 / CASE-2026-00011-S1 / PA-ACCEPT-*","evidence/IPL-PA-01_fix_proof.txt; commit 3f655ed; tests/services/claim-decision.service.test.ts (+4) ; interim-settlement PA leg","","FIXED-VERIFIED","","2026-07-19","Read-through effectivePreauthWhere + in-tx re-read; cut-time re-point deleted; UTILISED counts for the gate. Steal-guards x4 + case-aware fraud parity + cancelCase guard shipped in the same commit."
"IP-DEF-01","n/a","PA approval with reviewer notes crashed (reviewNotes written behind `as never` while column absent)","High","Pre-auth approval","n/a","2026-07-19 remediation (fix/inpatient-slice-case-pa)","n/a","2026-08-01 (controlled clock VM)","service-level (scripts/uat-prior-defect-gate.ts)","n/a","approveByHuman with a reviewer note","No crash / no raw-schema leak; reviewNotes persists; GOP issued","APPROVED; reviewNotes persisted verbatim; GOP-2026-00001 issued; no Prisma validation error","n/a","evidence/IP-DEF-01-05_gate_proof.txt","","FIXED-VERIFIED","","2026-07-19","reviewNotes is a real column (schema:2575)."
"IP-DEF-02","n/a","Future / pre-admission / post-discharge service entries accrued billable money","High","Case service-entry date gate","n/a","2026-07-19 remediation (fix/inpatient-slice-case-pa)","n/a","2026-08-01 (controlled clock VM)","service-level (scripts/uat-prior-defect-gate.ts)","n/a","addServiceEntry dated tomorrow / before admission / after discharge","Each blocked with a friendly message; accruedAmount unchanged (0)","future/pre-admission/post-discharge ALL blocked; accrued stayed 0","n/a","evidence/IP-DEF-01-05_gate_proof.txt","","FIXED-VERIFIED","","2026-07-19","Guards case.service.ts:151-167 + service-date."
"IP-DEF-03","n/a","Approval/settlement mutations could apply more than once / untruthful response","High","Decision + settlement idempotency","n/a","2026-07-19 remediation (fix/inpatient-slice-case-pa)","n/a","2026-08-01 (controlled clock VM)","service-level (scripts/uat-prior-defect-gate.ts)","n/a","Decide an approved slice a second time","Second decide blocked by the status-transition guard; effect applied exactly once","1st decide APPROVED; 2nd decide BLOCKED ('cannot be adjudicated in its current status (APPROVED)'); status unchanged","n/a","evidence/IP-DEF-01-05_gate_proof.txt","","FIXED-VERIFIED","","2026-07-19","Status-transition guard is also the idempotency guard (PR-016 #5)."
"IP-DEF-04","n/a","Same-day ward/ICU/HDU double bed-day not flagged/blocked","High","Bed-day overlap detection + fraud gate","n/a","2026-07-19 remediation (fix/inpatient-slice-case-pa)","n/a","2026-08-01 (controlled clock VM)","service-level (scripts/uat-prior-defect-gate.ts)","n/a","Same-day WARD + ICU bed-day entries; cut slice; decide (gate off, then gate on)","BED_DAY_OVERLAP timeline warning + HIGH fraud alert on the slice; with the fraud gate on, approval HARD-BLOCKS until cleared","timeline BED_DAY_OVERLAP written; slice HIGH 'Overlapping Bed-Day Charges' alert; gate-enabled decide BLOCKED by fraud gate (slice stays RECEIVED); tenant setting restored","n/a","evidence/IP-DEF-01-05_gate_proof.txt","","FIXED-VERIFIED","","2026-07-19","Detection is deterministic; the block is the tenant fraud-control toggle (default off), proven by enable/prove/restore."
"IP-DEF-05","n/a","Malformed / unknown-facility HMS batch could crash / mis-file","High","HMS batch validate + apply","n/a","2026-07-19 remediation (fix/inpatient-slice-case-pa)","n/a","2026-08-01 (controlled clock VM)","service-level (scripts/uat-prior-defect-gate.ts)","n/a","validate bad formatVersion + missing facilityCode; apply unknown facility; apply valid+unmatched mix","Friendly row/batch errors; valid rows conserved; unmatched -> Exception Register","validate throws formatVersion/facilityCode messages; unknown facility throws 'Unknown facility'; mixed batch applied=1/unmatched=1, valid row on the case, unmatched -> HMS_BATCH_UNMATCHED ExceptionLog","n/a","evidence/IP-DEF-01-05_gate_proof.txt","","FIXED-VERIFIED","","2026-07-19","Idempotency by batchRef+lineHash already PASS (CASE-08)."
"OBS-IP-GL","n/a","GL accrual/clearing reconciliation","Observation","General ledger","n/a","2026-07-19 remediation (fix/inpatient-slice-case-pa)","n/a","2026-08-01 (controlled clock VM)","service-level (scripts/uat-prior-defect-gate.ts)","n/a","Trial balance over all non-reversed JournalLines for the tenant","Debits == credits (balanced)","Balanced: Sum-debit == Sum-credit across the tenant's journal lines","n/a","evidence/IP-DEF-01-05_gate_proof.txt","","VERIFIED","","2026-07-19","Retest_result=VERIFIED (balanced)."
"OBS-IP-TARIFF","n/a","ICU/ward/procedure tariffs match reliably, expose source/version","Observation","Contract tariff resolution","n/a","2026-07-19 remediation (fix/inpatient-slice-case-pa)","n/a","2026-08-01 (controlled clock VM)","service-level (scripts/uat-prior-defect-gate.ts)","n/a","Precheck + tariff resolve on a V1 date and a V2 date","Contract matches per service date; ICU/ward rates resolve; source (contractNumber) + version (versionId) visible; UGX","PC-UAT-IP-2026 matched on 2026-07-13 (V1) and 2026-09-15 (V2); ICU-DAY 1,200,000 (V1) vs 1,300,000 (V2); versionId + contractNumber exposed; all UGX","n/a","evidence/IP-DEF-01-05_gate_proof.txt","","VERIFIED","","2026-07-19","Retest_result=VERIFIED. Sep-1 boundary step-up correct."
