name,type,tier,address,county,phone,email,contactPerson,servicesOffered,paymentTermDays,contractStatus,contractStartDate,contractEndDate,contractNotes,geoLatitude,geoLongitude,isOpen24Hours,operatingHours,legalName,registrationNumber,licenceNumber,facilityLevel,smartProviderId,slade360ProviderId
Mulago National Referral Hospital,HOSPITAL,PANEL,Kampala,Kampala,+25670000000,billing.0001@mulago.national.referral.hospital.test.ug,Provider Relations 0001,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.345418,32.571554,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Mulago National Referral Hospital,,UMDPC-TEST-000001,National Referral,SMART-UG-00001,SLADE-UG-00001
Mulago Specialised Women & Neonatal Hospital,HOSPITAL,PANEL,Kampala,Kampala,+25670007919,billing.0002@mulago.specialised.women.neonatal.hospital.test.ug,Provider Relations 0002,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.333132,32.579689,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Mulago Specialised Women & Neonatal Hospital,,UMDPC-TEST-000002,National Referral,SMART-UG-00002,SLADE-UG-00002
Kawempe National Referral Hospital,HOSPITAL,PANEL,Kampala,Kampala,+25670015838,billing.0003@kawempe.national.referral.hospital.test.ug,Provider Relations 0003,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.339814,32.595903,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Kawempe National Referral Hospital,,UMDPC-TEST-000003,National Referral,SMART-UG-00003,SLADE-UG-00003
Kiruddu National Referral Hospital,HOSPITAL,PANEL,Kampala,Kampala,+25670023757,billing.0004@kiruddu.national.referral.hospital.test.ug,Provider Relations 0004,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.36302,32.598884,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Kiruddu National Referral Hospital,,UMDPC-TEST-000004,National Referral,SMART-UG-00004,SLADE-UG-00004
Uganda Heart Institute,HOSPITAL,PANEL,"Mulago, Kampala",Kampala,+25670031676,billing.0005@uganda.heart.institute.test.ug,Provider Relations 0005,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Rehabilitation|Tertiary,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.351361,32.585076,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Uganda Heart Institute,,UMDPC-TEST-000005,General Hospital,SMART-UG-00005,SLADE-UG-00005
Uganda Cancer Institute,HOSPITAL,PANEL,"Mulago, Kampala",Kampala,+25670039595,billing.0006@uganda.cancer.institute.test.ug,Provider Relations 0006,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Rehabilitation|Tertiary,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.349798,32.572501,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Uganda Cancer Institute,,UMDPC-TEST-000006,General Hospital,SMART-UG-00006,SLADE-UG-00006
Yumbe Regional Referral Hospital,HOSPITAL,PANEL,Yumbe,Yumbe,+25670047514,billing.0007@yumbe.regional.referral.hospital.test.ug,Provider Relations 0007,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",3.48472,31.250208,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Yumbe Regional Referral Hospital,,UMDPC-TEST-000007,Regional Referral,SMART-UG-00007,SLADE-UG-00007
Nakasero Hospital,HOSPITAL,PANEL,Kampala,Kampala,+25670055433,billing.0008@nakasero.hospital.test.ug,Provider Relations 0008,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.35214,32.574254,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Nakasero Hospital Limited,UG-REG-TEST-000008,UMDPC-TEST-000008,General Hospital,SMART-UG-00008,SLADE-UG-00008
International Hospital Kampala (IHK),HOSPITAL,PANEL,"Namuwongo, Kampala",Kampala,+25670063352,billing.0009@international.hospital.kampala.ihk.test.ug,Provider Relations 0009,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.342266,32.585108,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",International Hospital Kampala (IHK) Limited,UG-REG-TEST-000009,UMDPC-TEST-000009,General Hospital,SMART-UG-00009,SLADE-UG-00009
Medipal International Hospital,HOSPITAL,PANEL,"Kololo, Kampala",Kampala,+25670071271,billing.0010@medipal.international.hospital.test.ug,Provider Relations 0010,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.34827,32.596947,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Medipal International Hospital Limited,UG-REG-TEST-000010,UMDPC-TEST-000010,General Hospital,SMART-UG-00010,SLADE-UG-00010
Kampala Hospital,HOSPITAL,PANEL,"Kololo, Kampala",Kampala,+25670079190,billing.0011@kampala.hospital.test.ug,Provider Relations 0011,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.330176,32.575611,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Kampala Hospital Limited,UG-REG-TEST-000011,UMDPC-TEST-000011,General Hospital,SMART-UG-00011,SLADE-UG-00011
Case Hospital,HOSPITAL,PANEL,"Buganda Road, Kampala",Kampala,+25670087109,billing.0012@case.hospital.test.ug,Provider Relations 0012,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.363421,32.576723,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Case Hospital Limited,UG-REG-TEST-000012,UMDPC-TEST-000012,General Hospital,SMART-UG-00012,SLADE-UG-00012
